person_id,person,mood_parent,mood_child,mood_code,utterance_1,utterance_2,utterance_3
1,영화관에서 영화를 보고 나온 여자,기쁨,감동,기쁨_감동,너무 감동적이었어!,눈물이 나올 뻔했어.,이 영화 진짜 대박이야.
1,영화관에서 영화를 보고 나온 여자,기쁨,고마움,기쁨_고마움,이 영화를 추천해줘서 고마워!,덕분에 좋은 시간 보냈어.,"정말 고마워, 잊지 않을게."
1,영화관에서 영화를 보고 나온 여자,기쁨,공감,기쁨_공감,주인공의 마음이 너무 잘 와닿았어.,나도 그런 경험이 있었어.,진짜 공감되는 장면이 많았어.
1,영화관에서 영화를 보고 나온 여자,기쁨,기대감,기쁨_기대감,후속작이 정말 기대돼!,다음 영화도 꼭 보러 가야겠어.,이 감독의 작품은 항상 기대돼.
1,영화관에서 영화를 보고 나온 여자,기쁨,놀람,기쁨_놀람,마무리 장면 진짜 놀랐어!,이런 전개는 예상 못했어.,완전 반전이야!
1,영화관에서 영화를 보고 나온 여자,기쁨,만족감,기쁨_만족감,아주 만족스러운 관람이었어.,시간이 아깝지 않았어.,정말 잘 만든 영화야.
1,영화관에서 영화를 보고 나온 여자,기쁨,반가움,기쁨_반가움,오랜만에 좋은 영화 봐서 반가워!,이런 영화를 다시 보게 되다니!,너무 반가운 경험이야.
1,영화관에서 영화를 보고 나온 여자,기쁨,신뢰감,기쁨_신뢰감,이 감독은 믿을 수 있어.,이런 영화는 항상 믿고 보네.,내가 좋아하는 스타일이야.
1,영화관에서 영화를 보고 나온 여자,기쁨,신명남,기쁨_신명남,영화 보고 나니까 기분이 좋아!,신나고 즐거운 영화였어.,완전 신명나게 웃었어.
1,영화관에서 영화를 보고 나온 여자,기쁨,안정감,기쁨_안정감,영화 보고 나니까 마음이 편안해.,안정감 있는 스토리였어.,이런 영화가 필요했어.
1,영화관에서 영화를 보고 나온 여자,기쁨,자랑스러움,기쁨_자랑스러움,이 영화를 친구들한테 자랑해야겠다.,내가 좋아하는 영화라서 자랑스러워.,이런 작품이 많아졌으면 좋겠어.
1,영화관에서 영화를 보고 나온 여자,기쁨,자신감,기쁨_자신감,이런 영화를 보면 자신감이 생겨!,내가 좋아하는 영화라 더 자신감이 생겨.,내 취향이 확고해진 느낌이야.
1,영화관에서 영화를 보고 나온 여자,기쁨,즐거움,기쁨_즐거움,정말 즐거운 시간이었어.,영화 보는 내내 웃었어.,이런 즐거운 영화는 처음이야.
1,영화관에서 영화를 보고 나온 여자,기쁨,통쾌함,기쁨_통쾌함,마지막 장면이 완전 통쾌했어!,이런 반전이 있었군!,모든 게 다 시원하게 풀렸어.
1,영화관에서 영화를 보고 나온 여자,기쁨,편안함,기쁨_편안함,영화 보면서 마음이 편안했어.,이런 편안한 영화는 자주 보고 싶어.,편안한 분위기가 좋았어.
1,영화관에서 영화를 보고 나온 여자,두려움,걱정,두려움_걱정,영화 내용이 마음에 걸려.,주인공이 걱정돼.,다음 전개가 너무 궁금해.
1,영화관에서 영화를 보고 나온 여자,두려움,공포,두려움_공포,이런 공포는 정말 힘들어.,마음이 불안해져.,소름이 돋았어.
1,영화관에서 영화를 보고 나온 여자,두려움,놀람,두려움_놀람,갑자기 튀어나와서 놀랐어!,이런 반전은 예상 못했어.,정말 깜짝 놀랐어.
1,영화관에서 영화를 보고 나온 여자,두려움,위축감,두려움_위축감,이런 분위기 너무 위축돼.,주인공이 너무 불쌍해 보여.,마음이 무거워져.
1,영화관에서 영화를 보고 나온 여자,두려움,초조함,두려움_초조함,다음 장면이 너무 초조해.,긴장감이 계속 올라가.,왜 이렇게 불안하지?
1,영화관에서 영화를 보고 나온 여자,미움(상대방),경멸,미움(상대방)_경멸,저런 캐릭터는 진짜 싫어.,어떻게 저럴 수 있지?,정말 경멸스럽다.
1,영화관에서 영화를 보고 나온 여자,미움(상대방),냉담,미움(상대방)_냉담,주인공에게 무관심한 캐릭터가 싫어.,그냥 냉담해 보였어.,감정이 없어서 싫어.
1,영화관에서 영화를 보고 나온 여자,미움(상대방),반감,미움(상대방)_반감,그 캐릭터가 마음에 안 들어.,왠지 반감이 생겼어.,어떻게 저럴 수 있지?
1,영화관에서 영화를 보고 나온 여자,미움(상대방),불신감,미움(상대방)_불신감,저 사람은 믿을 수 없겠어.,의도가 의심스러워.,불신이 생겼어.
1,영화관에서 영화를 보고 나온 여자,미움(상대방),비위상함,미움(상대방)_비위상함,그 캐릭터는 정말 비위상해.,왜 저렇게 행동하지?,정말 싫은 캐릭터야.
1,영화관에서 영화를 보고 나온 여자,미움(상대방),시기심,미움(상대방)_시기심,주인공이 너무 부러워.,저렇게 잘되는 사람은 싫어.,왜 나만 이럴까?
1,영화관에서 영화를 보고 나온 여자,미움(상대방),외면,미움(상대방)_외면,그 사람은 아예 신경 안 써.,아무리 해도 관심이 없어.,그냥 외면하고 싶어.
1,영화관에서 영화를 보고 나온 여자,미움(상대방),치사함,미움(상대방)_치사함,"그 사람, 너무 치사해.",어떻게 저럴 수 있어?,진짜 치사한 행동이야.
1,영화관에서 영화를 보고 나온 여자,분노,날카로움,분노_날카로움,그 장면 정말 날카로웠어.,그 캐릭터가 너무 날카로워.,화가 나서 날카로워졌어.
1,영화관에서 영화를 보고 나온 여자,분노,발열,분노_발열,점점 화가 나!,머리가 뜨거워져.,이런 상황 너무 화나.
1,영화관에서 영화를 보고 나온 여자,분노,불쾌,분노_불쾌,영화 보는 내내 불쾌했어.,그 장면 진짜 불쾌해.,왜 저렇게 행동하지?
1,영화관에서 영화를 보고 나온 여자,분노,사나움,분노_사나움,마음이 사납게 변했어.,너무 화나서 그러는 거야.,이런 상황은 사나워지기 쉬워.
